Region,Household Unique Sequential Number,2010Urban-RuralFIES,Final Weight Based on Projection (provincial projections),Survey Month,Survey Year,Psu Number,Replicate,Household Size,C101-Line Number,C03-Relationship to Household Head,C04-Sex,C05-Age as of Last Birthday,C06-Marital Status,C07-Highest Grade Completed,C08-Currently Attending School,C09-Graduate of technical/vocational course,C09a - Currently Attending Non-formal Training for Skills Development,C10-Overseas Filipino Indicator,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C17-Nature of Employment (Primary Occupation),C18-Normal Working Hours per Day,C19-Total Number of Hours Worked during the past week,C20-Want More Hours of Work,C21-Look for Additional Work,C22-First Time to Work,C23-Class of Worker (Primary Occupation),C24-Basis of Payment (Primary Occupation),C25-Basic Pay per Day (Primary Occupation),C26-Other Job Indicator,C27-Number of Jobs during the past week,C28-Total Hours Worked for all Jobs,C29-Reasons for Working More than 48 Hours during the past week,C30-Looked for Work or Tried to Establish Business during the past week,C31-First Time to Look for Work,C32-Job Search Method,C33-Number of Weeks Spent in Looking for Work,C34-Reason for not Looking for Work,C35-When Last Looked for Work,C36-Available for Work,C37-Willingness to take up work during the past week or within two weeks,C38-Previous Job Indicator,C40-Previous Occupation,C41-Did work or had a job during the past quarter,C43-Kind of Business (past quarter),"New Employment Criteria (jul 05, 2005)",,,,,,
1,13737,2,531.4767,1,19,79,46,3,3,3,1,15,1,10020,2,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,2,,,,3,,,,,,
8,27760,2,355.9788,1,19,263,48,13,5,6,1,9,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,28237,2,269.4219,1,19,259,44,4,4,8,2,70,3,0,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,2,,,,3,,,,,,
4,7629,1,3290.757,1,19,2422,48,13,11,5,1,32,2,10010,,2,2,5,1,,93,41,2,8,48,2,2,2,1,3,350,2,,48,,,,,,,,,,,,1,41,1,,,,,,
15,16685,2,463.0268,1,19,64,46,3,2,2,2,46,2,60413,,2,2,5,1,,23,84,1,8,40,2,2,2,2,4,159,2,,40,,,,,,,,,,,,1,85,1,,,,,,
1,24052,1,1823.8286,1,19,1384,46,6,5,3,1,5,1,1000,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5159,2,982.3332,1,19,496,46,5,3,7,2,86,3,0,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,3,,2,2,1,61,2,,3,,,,,,
9,39615,2,136.4611,1,19,33,23,16,8,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15899,1,1088.9768,1,19,823,45,6,1,1,1,38,2,60314,,2,2,5,1,,83,84,1,8,40,2,2,2,2,4,500,2,,40,,,,,,,,,,,,2,,1,,,,,,
7,26319,2,235.4152,1,19,11,9,2,2,3,1,25,1,10002,,2,2,5,1,,92,1,2,2,14,2,2,2,6,,,2,,14,20,,,,,,,,,,,1,1,1,,,,,,
