Survey Year,C04-Sex,C05-Age as of Last Birthday,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C23-Class of Worker (Primary Occupation)
19,1,15,2,2,,,
19,1,9,2,2,,,
19,2,70,2,2,,,
19,1,32,1,1,93,41,1
19,2,46,1,1,23,84,2
19,1,5,2,2,,,
19,2,86,2,2,,,
19,1,2,2,1,,,
19,1,38,1,1,83,84,2
19,1,25,1,1,92,1,6
19,2,9,2,2,,,
19,2,35,2,2,,,
19,1,16,2,2,,,
19,1,16,2,2,,,
19,2,52,2,2,,,
19,1,15,2,2,,,
19,2,10,2,2,,,
19,1,4,2,1,,,
19,1,11,2,2,,,
19,1,63,2,2,,,
19,2,19,1,1,52,56,1
19,2,40,1,1,14,47,3
19,1,25,1,1,93,11,1
19,2,6,2,2,,,
19,1,17,2,2,,,
19,2,78,2,2,,,
19,1,24,2,2,,,
19,1,4,2,1,,,
19,2,1,2,1,,,
19,2,21,1,1,23,85,1
19,2,1,2,1,,,
19,1,38,1,1,92,1,1
19,1,13,2,2,,,
19,2,12,2,2,,,
19,1,67,1,1,81,10,1
19,2,38,2,1,,,
19,2,5,2,2,,,
19,2,17,2,2,,,
19,1,75,1,1,14,47,3
19,1,57,1,1,93,41,1
19,1,45,1,1,92,1,1
19,2,19,1,1,52,56,1
19,2,41,1,1,95,47,3
19,2,26,1,1,52,47,1
19,2,15,2,2,,,
19,1,13,2,2,,,
19,1,11,2,2,,,
19,2,8,2,2,,,
19,2,68,2,2,,,
19,2,68,2,2,,,
19,2,67,2,2,,,
19,2,73,1,1,32,86,2
19,1,0,2,1,,,
19,2,51,1,1,91,96,0
19,2,23,2,2,,,
19,1,0,2,1,,,
19,1,23,1,1,32,47,1
19,2,63,2,1,61,1,3
19,2,30,2,2,,,
19,1,36,1,1,13,49,3
19,2,27,1,1,52,47,3
19,2,42,1,1,14,47,3
19,1,25,1,1,92,1,6
19,2,25,2,2,,,
19,2,15,2,2,,,
19,2,9,2,2,,,
19,1,49,1,1,61,1,3
19,1,31,2,2,,,
19,2,45,1,1,81,10,1
19,2,52,1,1,95,47,3
19,2,27,1,1,14,47,3
19,2,25,2,2,,,
19,2,56,1,1,22,84,2
19,1,38,1,1,92,1,1
19,2,26,1,1,52,47,1
19,2,6,2,2,,,
19,1,8,2,2,,,
19,2,16,2,2,,,
19,1,31,1,1,92,1,1
19,1,30,1,1,91,81,1
19,2,39,1,1,32,84,2
19,1,11,2,2,,,
19,1,42,1,1,93,41,1
19,2,24,1,1,23,85,1
19,2,76,2,2,,,
19,2,5,2,2,,,
19,1,10,2,2,,,
19,2,20,2,2,,,
19,1,32,1,1,91,96,0
19,1,1,2,1,,,
19,2,33,1,1,32,47,1
19,1,63,2,2,,,
19,2,15,2,2,,,
19,1,48,1,1,91,84,2
19,1,17,2,2,,,
19,1,37,1,1,61,1,3
19,1,28,1,1,71,41,1
19,1,54,1,1,61,1,3
19,1,23,1,1,94,56,1
19,1,72,2,2,,,
19,2,4,2,1,,,
19,1,37,1,1,13,49,3
19,2,26,2,1,,,
19,2,8,2,2,,,
19,2,0,2,1,,,
19,1,26,1,1,92,1,1
19,1,52,1,1,91,81,1
19,2,47,2,2,,,
19,1,26,1,1,13,49,3
19,2,2,2,1,,,
19,1,30,1,1,51,96,1
19,1,7,2,2,,,
19,2,12,2,2,,,
19,2,18,1,1,14,47,3
19,1,15,2,2,,,
19,1,56,1,1,83,42,1
19,1,14,2,2,,,
19,1,51,1,1,61,1,3
19,1,28,1,1,83,49,1
19,2,5,2,2,,,
19,2,44,1,1,61,1,4
19,2,23,1,1,52,47,1
19,2,9,2,2,,,
19,2,10,2,2,,,
19,1,15,2,2,,,
19,2,56,2,2,,,
19,1,14,2,2,,,
19,1,10,2,2,,,
19,2,78,2,2,,,
19,1,21,2,2,,,
19,2,34,2,1,,,
19,1,26,1,1,61,1,3
19,2,14,2,2,,,
19,1,35,1,1,54,84,2
19,2,38,1,1,42,82,1
19,2,20,2,2,,,
19,2,16,2,2,,,
19,2,7,2,2,,,
19,1,6,2,2,,,
19,2,60,2,2,,,
19,1,39,1,1,33,84,2
19,1,39,1,1,93,41,1
