Ratio,P-value,t,df,SED,Significance
0.0,,,,,0
0.42105263157894735,0.3367,0.9733,37,0.081,0
0.5517241379310345,0.5819,0.5571,28,0.093,0
0.4117647058823529,0.4774,0.7276,16,0.121,0
0.8125,0.0245,2.5000,15,0.125,1
0.6268656716417911,0.0417,2.0769,66,0.061,1
0.23214285714285715,0.0002,4.0089,55,0.067,3
0.18518518518518517,0.0030,3.2717,26,0.096,2
0.08571428571428572,0.0001,4.9019,34,0.085,3
0.4117647058823529,0.0777,1.7823,101,0.050,1

0.3076923076923077,0.0004,3.6690,90,0.052,3
0.0,0.0580,2.4495,5,0.204,1
0.0,,,,,0
0.48484848484848486,0.8629,0.1741,32,0.087,0
0.5,1.00000,0.0000,1,0.354,0
1.0,,,,,0
0.0,0.0001,6.0828,3,0.082,3
0.7076923076923077,0.0014,3.3489,64,0.062,2
0.030303030303030304,0.0001,5.3964,32,0.087,3
0.6875,0.1544,1.5000,15,0.125,0
0.3333333333333333,0.4513,0.8165,5,0.204,0
0.5,1.0000,0.0000,1,0.354,0
0.0,,,,,0
0.5,1.0000,0.0000,1,0.354,0
0.29411764705882354,0.1089,1.6977,16,0.121,0
0.4642857142857143,0.7084,0.3780,27,0.094,0
0.5333333333333333,0.8000,0.2582,14,0.129,0
0.8888888888888888,0.0479,2.3333,8,0.167,1
0.6666666666666666,0.6220,0.5774,2,0.289,0
0.6842105263157895,0.1257,1.6059,18,0.115,0
0.0,,,,,0
0.0,,,,,0

0.8461538461538461,0.0281,2.4962,12,0.139,1
0.30726256983240224,0.0001,5.1573,178,0.037,3
0.5333333333333333,0.5287,0.6325,89,0.053
0.41025641025641024,0.0009,3.3627,350,0.027,3
0.375,0.1673,1.4142,31,0.088,0
0.5,1.0000,0.0000,9,0.158,0
0.6521739130434783,0.0005,3.5753,137,0.043,3
